Name,Category,District,Tags,Entry Fee,Best Time
Satsang Ashram,Religious,Deoghar,"Spiritual Center, Gardens",Free,Year-round
Panchet Dam,Dam,Dhanbad,"Damodar River, Power Plant",Free,Oct - March
Topchanchi Lake,Nature,Dhanbad,"Man-made Lake, Parasnath view",Free,Oct - Feb
Birsa Munda Park,Park,Dhanbad,"Family Picnic, Toy Train",₹20,Year-round
Khandoli Dam,Nature,Giridih,"Parasailing, Bird Watching",Free,Winter
Madhuban,Religious,Giridih,"Base of Parasnath Hill",Free,Year-round
Harihar Dham,Religious,Giridih,"Largest Shiva Linga Statue",Free,Year-round
Masanjore Dam,Dam,Dumka,"Mayurakshi River, Scenic",Free,Oct - March
Srishti Multipurpose Park,Park,Dumka,"Floral Garden, Picnic",₹10,Year-round
Basukinath Dham,Religious,Dumka,"Shiv-Parvati Pilgrimage",Free,Year-round
Anjan Dham,Religious,Gumla,"Birthplace of Lord Hanuman",Free,Year-round
Navratangarh,Heritage,Gumla,"Ruined Fort, UNESCO Candidate",Free,Oct - March
Tanginath Dham,Religious,Gumla,"Ancient Iron Trident",Free,Year-round
Palkot Wildlife Sanctuary,Wildlife,Gumla,"Caves, Rocky Terrain",Free,Nov - March
Ramrekha Dham,Religious,Simdega,"Lord Rama Exile Cave",Free,Year-round
Kelaghagh Dam,Nature,Simdega,"Hills and Water, Boating",Free,Oct - March
Panchwati Park,Park,Simdega,"Landscaped Garden",₹10,Year-round
Itkhori Museum,Heritage,Chatra,"Buddhist/Jain Artifacts",Free,Year-round
Kunda Cave,Heritage,Chatra,"Ancient Rock Cave",Free,Oct - March
Tilaiya Dam Viewpoint,Nature,Koderma,"Sunset Point",Free,Oct - March
Makamarro Hills,Nature,Koderma,"Trekking, Forest",Free,Winter
Baba Baidyanath Mandir,Religious,Deoghar,"Jyotirlinga Temple",Free,Year-round
Tapovan Caves,Religious,Deoghar,"Meditation Caves",Free,Year-round
Dimna Lake,Nature,East Singhbhum,"Tata Steel Source, Picnic",Free,Oct - March
Bhuvaneshwari Temple,Religious,East Singhbhum,"Hilltop Temple, Telco",Free,Year-round
Amadubi Rural Tourism Village,Heritage,East Singhbhum,"Paitkar Paintings",Free,Oct - March
Hudco Lake,Nature,East Singhbhum,"Artificial Lake, Hill view",Free,Year-round
Rankini Temple,Religious,East Singhbhum,"Jadugoda, Historical",Free,Year-round
Galudih Barrage,Nature,East Singhbhum,"Subarnarekha River",Free,Oct - March
Sita Falls,Waterfall,Ranchi,"Radhu River, Offbeat",₹10,Nov - March
Muta Crocodile Farm,Wildlife,Ranchi,"Breeding center",₹20,Year-round
Sidhu Kanhu Park,Park,Ranchi,"Martyrs Memorial",₹10,Year-round
Sun Temple Ranchi,Religious,Ranchi,"Chariot Architecture",Free,Year-round
Deori Temple,Religious,Ranchi,"16-armed Durga, Dhoni favorite",Free,Year-round
Lumbini Park,Park,East Singhbhum,"Musical Fountain",₹20,Evening
Kalyaneshwari Temple,Religious,Dhanbad,"Ancient Shakti Temple",Free,Year-round
Shakti Mandir,Religious,Dhanbad,"Jharia Akhand Jyoti",Free,Year-round
Bhatinda Falls,Waterfall,Dhanbad,"Moonidih, Rock formations",Free,Oct - Feb
Canary Hill Watchtower,Nature,Hazaribagh,"Sunset Point",Free,Oct - March
Salparni,Nature,Hazaribagh,"Deep Forest, Waterfall",Free,Oct - March
Barso Pani Cave,Nature,Hazaribagh,"Clap-to-Rain cave",Free,Oct - March
Konar Dam,Dam,Hazaribagh,"Scenic reservoir",Free,Oct - March
Gautam Buddha Wildlife Sanctuary,Wildlife,Koderma,"Leopard/Sloth Bear",₹50,Nov - April
Petarwar Silk Park,Heritage,Bokaro,"Sericulture Center",Free,Year-round
Garga Dam,Dam,Bokaro,"Steel Plant Supply",Free,Oct - March
City Park Bokaro,Park,Bokaro,"Japanese Garden",₹10,Year-round
Mohan Kumar Mangalam Stadium,Sport,Bokaro,"Football hub",Free,Year-round
Khandoli Hill,Nature,Giridih,"Adventure Sports, Climbing",Free,Winter
Remta Lake,Nature,Giridih,"Birdwatching",Free,Winter
Lodh Waterfall,Waterfall,Latehar,"Burha River, 468ft",Free,Oct - March
Magnolia Point,Nature,Latehar,"Netarhat Sunset",Free,Year-round
Upper Ghaghri Falls,Waterfall,Latehar,"Near Netarhat",Free,Oct - March
Lower Ghaghri Falls,Waterfall,Latehar,"Deep Forest Fall",Free,Oct - March
Koel River Viewpoint,Nature,Latehar,"River Confluence",Free,Year-round
Sukhaldari Falls,Waterfall,Garhwa,"Kanhar River",Free,Oct - March
Gurushidhu Falls,Waterfall,Garhwa,"Offbeat Waterfall",Free,Oct - March
Kala Pahar,Nature,Garhwa,"Trekking hill",Free,Winter
Ranka Palace,Heritage,Garhwa,"Historical Estate",Free,Year-round
Tenughat Dam,Dam,Bokaro,"Earth Dam, Huge Reservoir",Free,Oct - March
Baba Ganimnath Temple,Religious,Bokaro,"Regional Deity",Free,Year-round
Jharkhand Dham,Religious,Giridih,"Open roof Temple",Free,Year-round
Martello Tower,Heritage,Pakur,"1855 Santhal Rebellion",Free,Year-round
Shiv Shakti Mandir,Religious,Pakur,"Local Pilgrimage",Free,Year-round
Kaju Bagan,Nature,Jamtara,"Cashew Plantations",Free,Feb - May
Ulihatu,Heritage,Khunti,"Birsa Munda Birthplace",Free,Year-round
Angrabari (Amreshwar Dham),Religious,Khunti,"Shiv Temple complex",Free,Year-round
Perwaghagh Falls,Waterfall,Khunti,"Emerald Water",₹10,Oct - March
Malti Temples,Heritage,Dumka,"Ancient Terracotta",Free,Year-round
Rajmahal Hills,Nature,Sahibganj,"Volcanic Rocks, Fossils",Free,Year-round
Fossil Park,Archaeological,Sahibganj,"Jurassic Era Fossils",₹20,Year-round
Moti Jharna,Waterfall,Sahibganj,"Scenic Waterfall",Free,July - Oct
St. Francis Church,Religious,Godda,"Historical Church",Free,Year-round
Lalmatia Mines,Industrial,Godda,"Open cast Coal Mine",Free,Year-round

